Fecha;Hora;name;stationId;Presion Baro;Rad Solar;Lluvia;Humedad;Vel Viento;Temperatura 8M;Temperatura;Dir Viento
2026-01-06;03:37;Centro de Alto Rendimiento;5;564.0;0.0;0.0;90.0;0.1;;11.1;323.0
2026-01-06;03:37;Las Ferias;6;563.0;;0.0;85.0;0.4;;12.2;290.0
2026-01-06;03:37;Guaymaral;8;563.0;0.0;0.0;86.0;0.6;10.7;11.1;315.0
2026-01-06;03:37;Kennedy;9;;0.0;0.0;88.2;0.7;;;7.0
2026-01-06;03:37;Suba;11;;;0.0;;0.5;;10.6;0.0
2026-01-06;03:37;Puente Aranda;13;562.0;0.0;0.0;93.0;0.7;;13.6;221.0
2026-01-06;03:37;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;03:37;San Cristobal;24;;0.0;0.0;89.0;1.1;;10.5;103.0
2026-01-06;03:37;Movil 7ma;26;561.0;0.0;0.0;75.8;0.4;;12.3;180.0
2026-01-06;03:37;Bolivia;27;564.0;0.0;0.1;96.0;0.7;;11.3;325.0
2026-01-06;03:37;Fontibon;30;563.0;;0.0;92.0;0.3;;12.0;4.0
2026-01-06;03:37;Usme;32;561.0;0.0;0.0;;;;11.5;
2026-01-06;03:37;Jazmin;34;563.0;0.0;0.0;96.0;0.3;;12.8;322.0
2026-01-06;03:37;Ciudad Bolivar;37;556.0;0.0;0.0;;;;11.8;
2026-01-06;03:37;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;03:37;Movil Fontibon;39;564.0;0.0;;;;;12.6;
2026-01-06;04:31;Usaquen;1;;;0.0;;0.7;;11.3;343.0
2026-01-06;04:31;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;04:31;Tunal;4;562.0;0.0;0.0;87.0;0.5;;;247.0
2026-01-06;04:31;Centro de Alto Rendimiento;5;564.0;0.0;0.0;91.0;1.2;;11.1;54.0
2026-01-06;04:31;Las Ferias;6;563.0;;0.0;85.0;1.1;;12.2;355.0
2026-01-06;04:31;Guaymaral;8;563.0;0.0;0.0;87.0;0.5;11.0;11.4;295.0
2026-01-06;04:31;Kennedy;9;;0.0;0.0;89.8;1.4;;;332.0
2026-01-06;04:31;Suba;11;;;0.0;;1.1;;11.3;355.0
2026-01-06;04:31;Puente Aranda;13;562.0;0.0;0.0;96.0;1.0;;13.4;291.0
2026-01-06;04:31;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;04:31;San Cristobal;24;;0.0;0.0;89.0;0.7;;10.2;116.0
2026-01-06;04:31;Movil 7ma;26;561.0;0.0;0.0;76.2;0.4;;12.1;170.0
2026-01-06;04:31;Bolivia;27;564.0;0.0;0.0;97.0;0.8;;11.4;343.0
2026-01-06;04:31;Fontibon;30;563.0;;0.0;94.0;1.7;;10.6;342.0
2026-01-06;04:31;Usme;32;561.0;0.0;0.0;;;;11.0;
2026-01-06;04:31;Jazmin;34;563.0;0.0;0.0;98.0;0.7;;12.7;300.0
2026-01-06;04:31;Ciudad Bolivar;37;556.0;0.0;0.0;;;;11.7;
2026-01-06;04:31;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;04:31;Movil Fontibon;39;564.0;1.0;;;;;11.6;
