Fecha;Hora;name;stationId;eBC;BBP;NO;NOX;OZONO;SO2;NO2;CO;PM25;PM10
2026-01-10;02:23;San Cristobal;24;0.5;13.9;1.4;1.5;10.4;1.2;0.1;0.16;985.0;9.0
2026-01-10;02:23;Movil 7ma;26;;;;;;;;-9999.0;23.7;19.9
2026-01-10;02:23;Bolivia;27;;;-9999.0;-9999.0;-9999.0;;-9999.0;-9999.0;7.6;33.5
2026-01-10;02:23;Fontibon;30;3.4;18.2;22.6;43.6;2.1;1.2;21.0;0.66;22.0;27.0
2026-01-10;02:23;Usme;32;;;4.5;19.0;6.2;2.5;14.5;0.2;13.0;15.4
2026-01-10;02:23;Jazmin;34;;;2.2;24.9;4.0;0.5;22.7;0.24;14.1;24.8
2026-01-10;02:23;Ciudad Bolivar;37;-9999.0;-9999.0;13.4;40.4;5.4;1.5;27.0;0.38;13.2;42.7
2026-01-10;02:23;Colina;38;;;1.8;7.5;14.8;0.8;5.8;0.35;0.0;0.0
2026-01-10;02:23;Movil Fontibon;39;;;-9999.0;-9999.0;;;-9999.0;-9999.0;14.2;58.5
2026-01-10;03:32;Usaquen;1;;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;5.8;8.4
2026-01-10;03:32;Carvajal - Sevillana;3;;;;;;1.5;;1.03;27.0;55.0
2026-01-10;03:32;Tunal;4;3.4;5.6;38.7;45.6;5.4;1.1;6.9;-9999.0;19.0;68.0
2026-01-10;03:32;Centro de Alto Rendimiento;5;4.4;10.9;21.0;33.4;-9999.0;0.6;12.4;0.54;30.6;18.6
2026-01-10;03:32;Las Ferias;6;;;3.0;20.2;3.4;;17.3;0.25;14.0;17.4
2026-01-10;03:32;Guaymaral;8;;;6.0;20.4;3.0;0.9;14.4;0.33;10.0;37.0
2026-01-10;03:32;Kennedy;9;-9999.0;-9999.0;23.8;50.2;0.0;1.1;26.4;0.86;21.3;60.0
2026-01-10;03:32;Suba;11;;;1.9;16.5;1.8;0.7;14.6;0.32;8.0;24.9
2026-01-10;03:32;Puente Aranda;13;4.0;9.2;23.3;45.1;0.8;1.4;21.9;0.35;16.0;-9999.0
2026-01-10;03:32;MinAmbiente;17;;;6.5;15.4;4.5;0.5;8.9;0.45;10.0;17.0
2026-01-10;03:32;San Cristobal;24;0.7;9.8;1.3;1.4;6.5;1.3;0.1;0.32;6.0;16.0
2026-01-10;03:32;Movil 7ma;26;;;;;;;;-9999.0;17.5;16.9
2026-01-10;03:32;Bolivia;27;;;-9999.0;-9999.0;-9999.0;;-9999.0;-9999.0;10.5;29.8
2026-01-10;03:32;Fontibon;30;2.8;13.7;9.7;30.4;2.5;1.3;20.8;0.56;15.0;32.9
2026-01-10;03:32;Usme;32;;;1.6;11.1;11.3;2.0;9.5;0.16;11.7;37.9
2026-01-10;03:32;Jazmin;34;;;16.1;43.9;0.5;0.8;27.8;0.37;10.2;35.3
2026-01-10;03:32;Ciudad Bolivar;37;-9999.0;-9999.0;27.6;62.6;1.0;1.5;35.0;0.44;10.8;39.3
2026-01-10;03:32;Colina;38;;;1.8;7.5;14.8;0.8;5.8;0.35;0.0;0.0
2026-01-10;03:32;Movil Fontibon;39;;;-9999.0;-9999.0;;;-9999.0;-9999.0;21.4;42.0
2026-01-10;04:25;Usaquen;1;;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;5.0;7.8
2026-01-10;04:25;Carvajal - Sevillana;3;;;;;;1.5;;1.03;27.0;55.0
2026-01-10;04:25;Tunal;4;5.2;8.4;52.0;59.9;3.0;1.5;8.0;-9999.0;18.0;59.0
2026-01-10;04:25;Centro de Alto Rendimiento;5;2.5;15.0;9.7;20.9;-9999.0;0.5;11.2;0.34;23.7;21.6
2026-01-10;04:25;Las Ferias;6;;;9.2;28.8;0.6;;19.5;0.31;16.0;15.6
2026-01-10;04:25;Guaymaral;8;;;27.6;41.9;3.5;1.2;14.3;0.38;19.0;23.0
2026-01-10;04:25;Kennedy;9;-9999.0;-9999.0;20.8;46.6;0.0;1.3;25.8;0.85;29.5;53.5
2026-01-10;04:25;Suba;11;;;0.9;13.0;3.1;1.3;12.2;0.3;11.0;24.0
2026-01-10;04:25;Puente Aranda;13;3.0;6.8;18.5;40.5;0.9;1.5;22.1;0.29;12.7;-9999.0
2026-01-10;04:25;MinAmbiente;17;;;10.2;23.9;1.2;0.5;13.8;0.59;10.0;34.0
2026-01-10;04:25;San Cristobal;24;1.3;14.1;1.4;1.5;4.1;1.5;0.1;0.35;0.0;23.0
2026-01-10;04:25;Movil 7ma;26;;;;;;;;-9999.0;17.5;37.5
2026-01-10;04:25;Bolivia;27;;;-9999.0;-9999.0;-9999.0;;-9999.0;-9999.0;7.7;27.9
2026-01-10;04:25;Fontibon;30;2.5;10.9;6.8;27.5;2.1;1.3;20.7;0.5;14.0;21.0
2026-01-10;04:25;Usme;32;;;2.3;12.9;12.6;2.3;10.6;0.2;16.4;26.6
2026-01-10;04:25;Jazmin;34;;;10.0;38.5;0.3;0.9;28.5;0.33;10.1;34.8
2026-01-10;04:25;Ciudad Bolivar;37;-9999.0;-9999.0;31.4;66.3;0.7;1.5;35.0;0.42;8.5;40.2
2026-01-10;04:25;Colina;38;;;1.8;7.5;14.8;0.8;5.8;0.35;0.0;0.0
2026-01-10;04:25;Movil Fontibon;39;;;-9999.0;-9999.0;;;-9999.0;-9999.0;23.1;26.4
2026-01-10;05:25;Usaquen;1;;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;4.7;8.0
2026-01-10;05:25;Carvajal - Sevillana;3;;;;;;1.5;;1.03;27.0;55.0
2026-01-10;05:25;Tunal;4;6.1;8.0;50.4;57.5;4.7;0.9;7.1;-9999.0;20.0;54.0
2026-01-10;05:25;Centro de Alto Rendimiento;5;3.4;11.9;11.7;24.0;-9999.0;0.4;12.2;0.34;17.0;21.6
2026-01-10;05:25;Las Ferias;6;;;3.7;17.1;7.7;;13.4;0.19;12.0;18.0
2026-01-10;05:25;Guaymaral;8;;;22.9;39.0;0.8;1.2;16.1;0.39;12.0;29.0
2026-01-10;05:25;Kennedy;9;-9999.0;-9999.0;37.8;62.8;0.0;1.0;25.1;1.02;21.8;55.2
2026-01-10;05:25;Suba;11;;;4.3;18.8;2.1;1.4;14.5;0.32;15.0;31.5
2026-01-10;05:25;Puente Aranda;13;4.5;3.0;37.5;59.5;0.8;1.5;22.4;0.41;17.3;-9999.0
2026-01-10;05:25;MinAmbiente;17;;;20.0;36.6;1.3;0.5;16.6;0.63;20.0;32.0
2026-01-10;05:25;San Cristobal;24;1.4;11.0;1.3;1.4;7.5;1.5;0.1;0.35;0.0;20.0
2026-01-10;05:25;Movil 7ma;26;;;;;;;;-9999.0;18.1;50.6
2026-01-10;05:25;Bolivia;27;;;-9999.0;-9999.0;-9999.0;;-9999.0;-9999.0;6.1;33.6
2026-01-10;05:25;Fontibon;30;2.9;8.1;7.3;27.9;2.5;1.2;20.6;0.54;16.0;19.0
2026-01-10;05:25;Usme;32;;;1.8;11.6;13.9;1.8;9.9;0.18;11.6;37.7
2026-01-10;05:25;Jazmin;34;;;32.9;62.2;0.3;1.1;29.3;0.47;8.0;36.1
2026-01-10;05:25;Ciudad Bolivar;37;-9999.0;-9999.0;57.5;91.8;1.0;1.4;34.3;0.6;7.0;36.9
2026-01-10;05:25;Colina;38;;;1.8;7.5;14.8;0.8;5.8;0.35;0.0;0.0
2026-01-10;05:25;Movil Fontibon;39;;;-9999.0;-9999.0;;;-9999.0;-9999.0;17.2;27.2
2026-01-10;06:20;Usaquen;1;;;-9999;-9999;-9999;-9999;-9999;-9999;6.8;10.9
2026-01-10;06:20;Carvajal - Sevillana;3;;;;;;1.5;;1.03;27;55
2026-01-10;06:20;Tunal;4;2.2;4.2;34.4;40.7;9.2;0.3;6.4;-9999;9;45
2026-01-10;06:20;Centro de Alto Rendimiento;5;4.7;5.4;17.9;28.7;-9999;0.5;10.8;0.37;11.9;20.1
2026-01-10;06:20;Las Ferias;6;;;16.4;37.5;1.4;;21.1;0.37;14;13.9
2026-01-10;06:20;Guaymaral;8;;;35.2;53;0.5;1.7;17.8;0.52;18;31
2026-01-10;06:20;Kennedy;9;-9999;-9999;47.8;74;0;1.2;26.2;1.38;25.2;52.7
2026-01-10;06:20;Suba;11;;;10.6;27.7;1.1;1.2;17.2;0.41;13;25.1
2026-01-10;06:20;Puente Aranda;13;7;4;60.5;83.2;0.7;1.6;23;0.65;16.4;-9999
2026-01-10;06:20;MinAmbiente;17;;;15.5;30.3;2.3;0.5;14.8;0.7;15;35
2026-01-10;06:20;San Cristobal;24;1.1;15.4;1.4;1.4;7.6;1.4;0.1;0.33;12;22
2026-01-10;06:20;Movil 7ma;26;;;;;;;;-9999;13.8;25.9
2026-01-10;06:20;Bolivia;27;;;-9999;-9999;-9999;;-9999;-9999;14.6;36.3
2026-01-10;06:20;Fontibon;30;4.3;8.1;20.9;42.7;2;1.2;21.8;0.67;17;20.1
2026-01-10;06:20;Usme;32;;;4.1;14;14.8;1;9.9;0.24;8.4;20
2026-01-10;06:20;Jazmin;34;;;27.9;54.7;1.8;0.9;26.8;0.44;18.8;27.7
2026-01-10;06:20;Ciudad Bolivar;37;-9999;-9999;9.8;22.1;15.1;1.8;12.3;0.11;5.3;40.7
2026-01-10;06:20;Colina;38;;;1.8;7.5;14.8;0.8;5.8;0.35;0;0
2026-01-10;06:20;Movil Fontibon;39;;;-9999;-9999;;;-9999;-9999;12.6;18
