Fecha;Hora;name;stationId;Rad Solar;Lluvia;Temperatura 8M;Humedad;Presion Baro;Vel Viento;Temperatura;Dir Viento
2025-10-21;00:22;Usaquen;1;;0.0;;;;1.0;10.8;145.0
2025-10-21;00:22;Carvajal - Sevillana;3;;0.0;;;;1.2;12.4;244.0
2025-10-21;00:22;Tunal;4;1.0;0.0;;75.0;564.0;0.6;;215.0
2025-10-21;00:22;Centro de Alto Rendimiento;5;0.0;0.0;;86.0;565.0;0.3;8.0;298.0
2025-10-21;00:22;Las Ferias;6;;0.0;;77.0;565.0;;11.6;
2025-10-21;00:22;Guaymaral;8;0.0;0.0;9.5;82.0;564.0;0.4;9.4;315.0
2025-10-21;00:22;Kennedy;9;0.0;0.0;;83.0;;0.7;;266.0
2025-10-21;00:22;Suba;11;;0.0;;;;0.3;9.3;358.0
2025-10-21;00:22;Puente Aranda;13;0.0;0.0;;79.0;564.0;1.6;13.1;211.0
2025-10-21;00:22;MinAmbiente;17;;0.0;;;;-9999.0;;-9999.0
2025-10-21;00:22;San Cristobal;24;0.0;0.0;;76.0;;1.9;9.9;108.0
2025-10-21;00:22;Movil 7ma;26;0.0;0.0;;65.8;563.0;0.4;12.9;88.0
2025-10-21;00:22;Bolivia;27;0.0;0.0;;90.0;565.0;0.6;11.0;269.0
2025-10-21;00:22;Fontibon;30;;0.0;;87.0;565.0;1.2;11.3;249.0
2025-10-21;00:22;Usme;32;0.0;0.0;;;563.0;;11.4;
2025-10-21;00:22;Jazmin;34;0.0;0.0;;76.0;565.0;0.6;12.9;228.0
2025-10-21;00:22;Ciudad Bolivar;37;0.0;0.0;;;558.0;;11.9;
2025-10-21;00:22;Colina;38;53.0;0.3;;;562.0;0.9;14.8;271.0
2025-10-21;00:22;Movil Fontibon;39;0.0;;;;565.0;;11.5;
2025-10-21;01:34;Usaquen;1;;0.0;;;;0.9;11.1;145.0
2025-10-21;01:34;Carvajal - Sevillana;3;;0.0;;;;1.2;11.8;245.0
2025-10-21;01:34;Tunal;4;1.0;0.0;;74.0;564.0;0.4;;223.0
2025-10-21;01:34;Centro de Alto Rendimiento;5;0.0;0.0;;87.0;565.0;0.1;7.8;48.0
2025-10-21;01:34;Las Ferias;6;;0.0;;78.0;564.0;;11.3;
2025-10-21;01:34;Guaymaral;8;0.0;0.0;8.8;83.0;564.0;0.4;8.6;303.0
2025-10-21;01:34;Kennedy;9;0.0;0.0;;82.9;;0.6;;193.0
2025-10-21;01:34;Suba;11;;0.0;;;;0.4;8.4;349.0
2025-10-21;01:34;Puente Aranda;13;0.0;0.0;;78.0;564.0;1.0;13.0;221.0
2025-10-21;01:34;MinAmbiente;17;;0.0;;;;-9999.0;;-9999.0
2025-10-21;01:34;San Cristobal;24;0.0;0.0;;78.0;;1.9;9.5;112.0
2025-10-21;01:34;Movil 7ma;26;0.0;0.0;;67.2;562.0;0.4;12.2;79.0
2025-10-21;01:34;Bolivia;27;0.0;0.0;;93.0;565.0;0.7;10.4;309.0
2025-10-21;01:34;Fontibon;30;;0.0;;89.0;565.0;0.4;11.0;272.0
2025-10-21;01:34;Usme;32;0.0;0.0;;;563.0;;10.2;
2025-10-21;01:34;Jazmin;34;0.0;0.0;;75.0;564.0;0.4;12.7;235.0
2025-10-21;01:34;Ciudad Bolivar;37;0.0;0.0;;;558.0;;11.2;
2025-10-21;01:34;Colina;38;53.0;0.3;;;562.0;0.9;14.8;271.0
2025-10-21;01:34;Movil Fontibon;39;0.0;;;;565.0;;11.6;
2025-10-21;02:23;Usaquen;1;;0;;;;0.1;10.4;59
2025-10-21;02:23;Carvajal - Sevillana;3;;0;;;;1.2;11.2;248
2025-10-21;02:23;Tunal;4;1;0;;76;563;0.4;;229
2025-10-21;02:23;Centro de Alto Rendimiento;5;0;0;;86;565;0.4;7.1;313
2025-10-21;02:23;Las Ferias;6;;0;;80;564;;10.8;
2025-10-21;02:23;Guaymaral;8;0;0;8.2;84;564;0.4;8.1;319
2025-10-21;02:23;Kennedy;9;0;0;;82.6;;0.6;;184
2025-10-21;02:23;Suba;11;;0;;;;0.5;8.1;57
2025-10-21;02:23;Puente Aranda;13;0;0;;78;563;1;12.5;226
2025-10-21;02:23;MinAmbiente;17;;0;;;;-9999;;-9999
2025-10-21;02:23;San Cristobal;24;0;0;;80;;1.8;9.3;109
2025-10-21;02:23;Movil 7ma;26;0;0;;68.2;562;0.2;11.7;97
2025-10-21;02:23;Bolivia;27;0;0;;94;565;0.6;9.7;246
2025-10-21;02:23;Fontibon;30;;0;;89;564;0.9;10.6;300
2025-10-21;02:23;Usme;32;0;0;;;562;;10.4;
2025-10-21;02:23;Jazmin;34;0;0;;78;564;0.5;11.9;267
2025-10-21;02:23;Ciudad Bolivar;37;0;0;;;557;;11;
2025-10-21;02:23;Colina;38;53;0.3;;;562;0.9;14.8;271
2025-10-21;02:23;Movil Fontibon;39;0;;;;565;;10.7;
