Fecha;Hora;name;stationId;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura;Humedad
2025-10-27;14:19;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;14:19;Fontibon;30;6.6;;562.0;0.0;;246.0;18.4;67.0
2025-10-27;14:19;Usme;32;;338.0;560.0;0.0;;;19.7;
2025-10-27;14:19;Jazmin;34;4.4;660.0;562.0;0.0;;268.0;19.2;67.0
2025-10-27;14:19;Ciudad Bolivar;37;;438.0;556.0;0.0;;;16.6;
2025-10-27;14:19;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;14:19;Movil Fontibon;39;;826.0;563.0;;;;18.8;
2025-10-27;15:24;Usaquen;1;1.4;;;0.0;;217.0;17.3;
2025-10-27;15:24;Carvajal - Sevillana;3;4.9;;;0.0;;27.0;21.0;
2025-10-27;15:24;Tunal;4;4.4;682.0;561.0;0.0;;276.0;;59.0
2025-10-27;15:24;Centro de Alto Rendimiento;5;2.4;98.0;562.0;1.3;;305.0;14.2;81.0
2025-10-27;15:24;Las Ferias;6;3.2;;562.0;5.7;;245.0;14.9;77.0
2025-10-27;15:24;Guaymaral;8;1.7;113.0;561.0;0.0;18.2;242.0;18.7;58.0
2025-10-27;15:24;Kennedy;9;4.1;570.0;;0.0;;285.0;;65.6
2025-10-27;15:24;Suba;11;2.2;;;3.7;;237.0;16.9;
2025-10-27;15:24;Puente Aranda;13;3.8;432.0;561.0;0.0;;257.0;17.7;80.0
2025-10-27;15:24;MinAmbiente;17;-9999.0;;;1.2;;-9999.0;;
2025-10-27;15:24;San Cristobal;24;1.9;100.0;;0.0;;304.0;18.2;63.0
2025-10-27;15:24;Movil 7ma;26;0.4;66.0;560.0;0.0;;319.0;17.5;66.3
2025-10-27;15:24;Bolivia;27;3.0;54.0;563.0;0.0;;267.0;15.1;86.0
2025-10-27;15:24;Fontibon;30;6.7;;562.0;0.0;;252.0;16.7;75.0
2025-10-27;15:24;Usme;32;;248.0;560.0;0.0;;;19.4;
