Fecha;Hora;name;stationId;Vel Viento;Rad Solar;Lluvia;Presion Baro;Dir Viento;Temperatura;Humedad;Temperatura 8M
2026-01-01;03:35;Las Ferias;6;1.2;;0;564;357;11.8;74;
2026-01-01;03:35;Guaymaral;8;1;0;0;564;334;9.4;83;9.2
2026-01-01;03:35;Kennedy;9;0.8;0;0;;21;;78.5;
2026-01-01;03:35;Suba;11;1.5;;0;;31;9.4;;
2026-01-01;03:35;Puente Aranda;13;0.8;0;0;564;67;13.3;83;
2026-01-01;03:35;MinAmbiente;17;-9999;;0;;-9999;;;
2026-01-01;03:35;San Cristobal;24;0.8;0;0;;109;10.6;78;
2026-01-01;03:35;Movil 7ma;26;0.2;0;0;562;166;12.9;64.4;
2026-01-01;03:35;Bolivia;27;1.3;0;0;565;72;11.6;85;
2026-01-01;03:35;Fontibon;30;2.5;;0;565;43;11.8;82;
2026-01-01;03:35;Usme;32;;0;0;562;;14;;
2026-01-01;03:35;Jazmin;34;1;0;0;564;27;13.1;81;
2026-01-01;03:35;Ciudad Bolivar;37;;0;0;558;;11.9;;
2026-01-01;03:35;Colina;38;1.8;93;0;563;169;16.5;;
2026-01-01;03:35;Movil Fontibon;39;;0;;565;;12.4;;
