Fecha;Hora;name;stationId;Presion Baro;Dir Viento;Vel Viento;Humedad;Temperatura 8M;Rad Solar;Lluvia;Temperatura
2025-10-01;02:23;Puente Aranda;13;564.0;195.0;0.9;82.0;;0.0;0.0;13.8
2025-10-01;02:23;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;02:23;San Cristobal;24;;140.0;0.6;76.0;;0.0;0.0;11.4
2025-10-01;02:23;Movil 7ma;26;562.0;194.0;0.4;66.3;;0.0;0.0;13.2
2025-10-01;02:23;Bolivia;27;565.0;60.0;1.7;90.0;;0.0;0.0;12.4
2025-10-01;02:23;Fontibon;30;565.0;27.0;0.1;88.0;;;0.0;12.4
2025-10-01;02:23;Usme;32;563.0;;;;;0.0;0.0;13.1
2025-10-01;02:23;Jazmin;34;564.0;180.0;0.8;77.0;;0.0;0.0;13.7
2025-10-01;02:23;Ciudad Bolivar;37;558.0;;;;;0.0;0.0;12.2
2025-10-01;02:23;Colina;38;564.0;118.0;0.8;;;0.0;0.0;12.8
2025-10-01;02:23;Movil Fontibon;39;565.0;;;;;1.0;;13.1
2025-10-01;03:30;Usaquen;1;;165.0;0.9;;;;0.0;12.0
2025-10-01;03:30;Carvajal - Sevillana;3;;244.0;3.8;;;;0.0;12.8
2025-10-01;03:30;Tunal;4;564.0;173.0;1.2;77.0;;1.0;0.0;
2025-10-01;03:30;Centro de Alto Rendimiento;5;565.0;27.0;0.3;84.0;;0.0;0.0;9.5
2025-10-01;03:30;Las Ferias;6;564.0;;;77.0;;;0.0;11.5
2025-10-01;03:30;Guaymaral;8;564.0;259.0;0.7;81.0;11.5;0.0;0.1;11.6
2025-10-01;03:30;Kennedy;9;;161.0;0.8;77.6;;0.0;0.0;
2025-10-01;03:30;Suba;11;;15.0;1.4;;;;0.0;11.0
2025-10-01;03:30;Puente Aranda;13;564.0;187.0;1.3;78.0;;0.0;0.0;13.7
2025-10-01;03:30;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;03:30;San Cristobal;24;;127.0;0.7;74.0;;0.0;0.0;11.3
2025-10-01;03:30;Movil 7ma;26;562.0;353.0;0.2;64.1;;0.0;0.0;13.1
2025-10-01;03:30;Bolivia;27;565.0;55.0;1.8;89.0;;0.0;0.0;12.2
2025-10-01;03:30;Fontibon;30;565.0;39.0;1.3;88.0;;;0.0;12.2
2025-10-01;03:30;Usme;32;562.0;;;;;0.0;0.0;12.5
2025-10-01;03:30;Jazmin;34;564.0;182.0;0.8;77.0;;0.0;0.0;13.2
2025-10-01;03:30;Ciudad Bolivar;37;558.0;;;;;0.0;0.0;12.3
2025-10-01;03:30;Colina;38;564.0;84.0;0.8;;;0.0;0.0;12.6
2025-10-01;03:30;Movil Fontibon;39;565.0;;;;;0.0;;13.0
2025-10-01;04:25;Usaquen;1;;112.0;2.8;;;;0.0;12.1
2025-10-01;04:25;Carvajal - Sevillana;3;;237.0;3.9;;;;0.0;12.7
2025-10-01;04:25;Tunal;4;564.0;166.0;1.2;79.0;;1.0;0.0;
2025-10-01;04:25;Centro de Alto Rendimiento;5;565.0;328.0;0.2;86.0;;0.0;0.0;8.8
