Fecha;Hora;name;stationId;PM25;eBC;NOX;PM10;BBP;OZONO;NO2;SO2;CO;NO
2025-12-08;03:37;Centro de Alto Rendimiento;5;64.3;8.4;45.3;61.6;32.8;-9999.0;12.2;0.4;0.96;33.0
2025-12-08;03:37;Las Ferias;6;72.0;;31.7;49.8;;0.5;18.7;;0.59;12.9
2025-12-08;03:37;Guaymaral;8;23.0;;42.7;33.0;;0.3;12.8;1.0;0.5;29.9
2025-12-08;03:37;Kennedy;9;92.5;4.0;41.4;107.6;66.0;0.0;21.7;3.3;0.98;19.7
2025-12-08;03:37;Suba;11;985.0;;30.2;41.1;;0.6;14.3;1.0;0.63;15.9
2025-12-08;03:37;Puente Aranda;13;59.8;-9999.0;63.5;83.5;0.1;1.1;23.2;3.4;0.79;40.5
2025-12-08;03:37;MinAmbiente;17;30.0;;13.6;37.0;;3.2;9.3;1.5;0.58;4.3
2025-12-08;03:37;San Cristobal;24;10.0;0.7;-9999.0;17.0;23.4;4.3;-9999.0;0.2;0.27;-9999.0
2025-12-08;03:37;Movil 7ma;26;46.2;;;67.7;;;;;-9999.0;
2025-12-08;03:37;Bolivia;27;56.8;;34.2;76.6;;0.6;18.8;;0.41;15.4
2025-12-08;03:37;Fontibon;30;57.0;4.9;38.7;-9999.0;36.4;1.5;21.1;-9999.0;0.64;17.7
2025-12-08;03:37;Usme;32;81.4;;42.1;87.9;;0.9;15.2;1.6;0.52;26.9
2025-12-08;03:37;Jazmin;34;107.2;;68.3;137.8;;0.6;22.7;3.6;1.08;45.7
2025-12-08;03:37;Ciudad Bolivar;37;77.1;7.2;92.9;106.0;38.2;1.3;30.3;5.2;1.37;62.6
2025-12-08;03:37;Colina;38;8.0;;86.3;2.4;;-9999.0;62.8;0.4;0.7;23.5
2025-12-08;03:37;Movil Fontibon;39;14.2;;-9999.0;79.8;;;-9999.0;;-9999.0;-9999.0
2025-12-08;04:33;Usaquen;1;36.9;;-9999.0;35.3;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-08;04:33;Carvajal - Sevillana;3;71.0;;;90.0;;;;1.5;0.85;
2025-12-08;04:33;Tunal;4;0.0;1.8;15.1;44.0;19.7;1.6;7.1;0.4;-9999.0;8.0
2025-12-08;04:33;Centro de Alto Rendimiento;5;54.0;7.3;41.8;65.5;42.1;-9999.0;11.1;0.2;0.9;30.7
2025-12-08;04:33;Las Ferias;6;44.0;;44.6;41.8;;0.4;17.9;;0.83;26.6
