Fecha;Hora;name;stationId;NO2;eBC;OZONO;CO;SO2;PM10;PM25;NOX;BBP;NO
2025-11-30;13:33;Kennedy;9;11.2;1.8;55.9;0.61;2.2;46;38.1;13.6;7.8;2.4
2025-11-30;13:33;Suba;11;2.4;;23.4;0.3;1;39;15;3;;0.6
2025-11-30;13:33;Puente Aranda;13;18.3;-9999;38.2;0.24;2.1;35;22.3;21.9;0.1;3.5
2025-11-30;13:33;MinAmbiente;17;19.1;;49.5;0.71;2.4;46;22;24.8;;5.7
2025-11-30;13:33;San Cristobal;24;-9999;1.8;50.6;0.62;2;47;4;-9999;5.6;-9999
2025-11-30;13:33;Movil 7ma;26;;;;-9999;;4.3;13.9;;;
2025-11-30;13:33;Bolivia;27;10.2;;26.2;0.18;;30.6;7;11.6;;1.4
2025-11-30;13:33;Fontibon;30;7.7;1.8;52.2;0.26;-9999;-9999;24;9.3;0.2;1.5
2025-11-30;13:33;Usme;32;16.5;;56.2;0.41;2.3;22.8;9.7;19.7;;3.2
2025-11-30;13:33;Jazmin;34;17.5;;46.6;0.45;2.4;31.8;24;21.2;;3.8
2025-11-30;13:33;Ciudad Bolivar;37;21.7;3.2;47;0.28;2.6;64.6;23.8;36.8;8.6;15.1
2025-11-30;13:33;Colina;38;62.8;;-9999;0.7;0.4;2.4;8;86.3;;23.5
2025-11-30;13:33;Movil Fontibon;39;-9999;;;-9999;;42.7;8.4;-9999;;-9999
