Fecha;Hora;name;stationId;eBC;NOX;NO2;BBP;SO2;PM10;NO;CO;OZONO;PM25
2025-10-17;13:30;Puente Aranda;13;1.3;29;20;1.8;1;55.4;9.1;0.22;15.7;30.2
2025-10-17;13:30;MinAmbiente;17;;28.4;17.4;;0.6;19;10.9;0.57;19.4;985
2025-10-17;13:30;San Cristobal;24;1.1;1.6;1.6;69.3;0;985;0;0.05;0.5;4
2025-10-17;13:30;Movil 7ma;26;;;;;;11.8;;-9999;;21.8
2025-10-17;13:30;Bolivia;27;;7.5;5.5;;;21.4;1.9;0.46;21.8;0
2025-10-17;13:30;Fontibon;30;4.4;38.2;24.6;5.5;1.5;25;13.7;0.58;24.7;21.7
2025-10-17;13:30;Usme;32;;17.5;10;;3.4;25.1;7.5;0.13;26.4;13.2
2025-10-17;13:30;Jazmin;34;;17.3;9.4;;0.8;0.1;7.9;0.25;23.1;0.1
2025-10-17;13:30;Ciudad Bolivar;37;0.8;8;5.7;6.8;0.8;41;2.3;-0.09;28;21.2
2025-10-17;13:30;Colina;38;;113;80.8;;0.9;3.1;32.2;0.46;5;47.4
2025-10-17;13:30;Movil Fontibon;39;;-9999;-9999;;;75.7;-9999;-9999;;17.1
