Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Presion Baro;Temperatura 8M;Lluvia;Rad Solar;Vel Viento
2025-12-22;15:28;Guaymaral;8;20.6;248.0;52.0;561.0;19.6;0.0;345.0;2.8
2025-12-22;15:28;Kennedy;9;;293.0;61.1;;;0.0;541.0;3.5
2025-12-22;15:28;Suba;11;19.5;247.0;;;;0.0;;1.8
2025-12-22;15:28;Puente Aranda;13;18.1;250.0;73.0;562.0;;0.0;394.0;3.6
2025-12-22;15:28;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;15:28;San Cristobal;24;17.9;313.0;63.0;;;0.0;105.0;0.6
2025-12-22;15:28;Movil 7ma;26;19.1;302.0;53.9;560.0;;0.0;81.0;0.9
2025-12-22;15:28;Bolivia;27;18.2;282.0;73.0;563.0;;0.0;440.0;3.4
2025-12-22;15:28;Fontibon;30;17.9;250.0;65.0;562.0;;0.0;;6.6
2025-12-22;15:28;Usme;32;19.0;;;560.0;;0.0;292.0;
