Fecha;Hora;name;stationId;NOX;PM25;eBC;NO;NO2;PM10;CO;BBP;OZONO;SO2
2025-12-14;12:20;Usme;32;5.8;18.4;;2.8;3.0;21.8;0.08;;17.1;1.9
2025-12-14;12:20;Jazmin;34;25.2;27.4;;6.3;18.9;59.8;0.37;;22.0;1.2
2025-12-14;12:20;Ciudad Bolivar;37;16.5;29.0;0.5;10.3;6.2;65.9;-0.25;11.5;18.6;1.2
2025-12-14;12:20;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;12:20;Movil Fontibon;39;-9999.0;38.5;;-9999.0;-9999.0;22.0;-9999.0;;;
2025-12-14;13:34;Usaquen;1;-9999.0;11.8;;-9999.0;-9999.0;35.4;-9999.0;;-9999.0;-9999.0
2025-12-14;13:34;Carvajal - Sevillana;3;;27.0;;;;47.0;0.51;;;2.1
2025-12-14;13:34;Tunal;4;7.0;0.0;1.0;4.5;2.5;21.0;-9999.0;16.7;14.6;0.6
2025-12-14;13:34;Centro de Alto Rendimiento;5;6.3;9.8;0.4;1.6;4.7;31.2;0.14;10.8;-9999.0;1.6
2025-12-14;13:34;Las Ferias;6;7.0;7.0;;3.8;3.2;1.3;0.19;;18.1;
2025-12-14;13:34;Guaymaral;8;5.2;2.0;;1.3;3.9;11.0;0.06;;16.1;0.8
2025-12-14;13:34;Kennedy;9;19.4;23.3;2.3;10.7;8.8;49.6;0.56;17.2;16.2;1.0
2025-12-14;13:34;Suba;11;3.7;3.0;;1.8;1.9;33.9;0.25;;12.8;0.8
2025-12-14;13:34;Puente Aranda;13;19.1;31.7;-9999.0;6.7;12.4;73.6;0.08;0.1;9.6;1.0
2025-12-14;13:34;MinAmbiente;17;3.4;5.0;;1.4;2.0;10.0;0.18;;19.6;1.0
2025-12-14;13:34;San Cristobal;24;-9999.0;2.0;0.4;-9999.0;-9999.0;6.0;0.2;40.7;14.5;0.5
2025-12-14;13:34;Movil 7ma;26;;28.0;;;;16.2;-9999.0;;;
2025-12-14;13:34;Bolivia;27;0.1;13.0;;0.5;-0.4;35.6;0.2;;11.9;
2025-12-14;13:34;Fontibon;30;12.2;7.0;1.0;3.4;8.8;-9999.0;0.44;12.2;27.4;-9999.0
2025-12-14;13:34;Usme;32;8.7;13.5;;4.6;4.1;25.4;0.2;;17.6;2.4
2025-12-14;13:34;Jazmin;34;7.7;37.0;;2.7;5.1;53.3;0.16;;14.6;0.7
2025-12-14;13:34;Ciudad Bolivar;37;15.8;22.8;0.5;10.1;5.7;48.7;-0.23;26.3;18.4;1.1
2025-12-14;13:34;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;13:34;Movil Fontibon;39;-9999.0;27.7;;-9999.0;-9999.0;14.4;-9999.0;;;
2025-12-14;14:19;Usaquen;1;-9999.0;16.6;;-9999.0;-9999.0;35.5;-9999.0;;-9999.0;-9999.0
2025-12-14;14:19;Carvajal - Sevillana;3;;20.0;;;;57.0;0.55;;;1.9
2025-12-14;14:19;Tunal;4;6.7;0.0;0.6;4.0;2.7;7.0;-9999.0;15.2;15.8;0.7
2025-12-14;14:19;Centro de Alto Rendimiento;5;4.3;8.0;0.3;1.3;3.1;25.4;0.11;22.3;-9999.0;1.5
2025-12-14;14:19;Las Ferias;6;5.1;3.0;;2.6;2.5;1.2;0.16;;19.3;
2025-12-14;14:19;Guaymaral;8;5.8;1.0;;2.2;3.7;12.0;0.09;;16.1;1.0
2025-12-14;14:19;Kennedy;9;21.7;20.2;2.2;12.6;9.1;43.4;0.58;12.3;16.2;1.1
2025-12-14;14:19;Suba;11;3.9;1.0;;2.1;1.8;25.6;0.26;;12.2;0.7
2025-12-14;14:19;Puente Aranda;13;24.4;25.1;-9999.0;11.0;13.4;48.5;0.23;0.1;8.5;1.7
2025-12-14;14:19;MinAmbiente;17;2.6;0.0;;1.1;1.5;7.0;0.19;;20.0;1.0
2025-12-14;14:19;San Cristobal;24;-9999.0;0.0;0.4;-9999.0;-9999.0;14.0;0.26;11.3;15.2;0.6
2025-12-14;14:19;Movil 7ma;26;;22.1;;;;13.4;-9999.0;;;
2025-12-14;14:19;Bolivia;27;0.1;10.2;;0.5;-0.4;25.2;0.17;;12.4;
2025-12-14;14:19;Fontibon;30;11.3;8.0;1.4;2.6;8.6;-9999.0;0.44;11.1;26.8;-9999.0
2025-12-14;14:19;Usme;32;8.7;9.8;;4.8;3.9;37.5;0.21;;18.3;3.8
2025-12-14;14:19;Jazmin;34;8.5;26.0;;2.2;6.2;37.8;0.17;;15.1;0.8
2025-12-14;14:19;Ciudad Bolivar;37;17.3;23.8;0.6;10.9;6.3;46.2;-0.22;25.4;19.3;1.0
2025-12-14;14:19;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;14:19;Movil Fontibon;39;-9999.0;23.6;;-9999.0;-9999.0;22.4;-9999.0;;;
2025-12-14;15:26;Usaquen;1;-9999;5.2;;-9999;-9999;35.4;-9999;;-9999;-9999
2025-12-14;15:26;Carvajal - Sevillana;3;;23;;;;53;0.53;;;1.7
2025-12-14;15:26;Tunal;4;9.7;0;0.6;6.2;3.4;18;-9999;11.2;16.5;0.7
2025-12-14;15:26;Centro de Alto Rendimiento;5;4.8;16.7;0.5;1.4;3.4;18;0.11;18.3;-9999;1.5
2025-12-14;15:26;Las Ferias;6;9.1;4;;5.3;3.9;1.7;0.23;;17.7;
2025-12-14;15:26;Guaymaral;8;8.6;3;;3.2;5.3;15;0.1;;14.9;0.9
2025-12-14;15:26;Kennedy;9;10.2;14.4;1.5;2.4;7.8;31.5;0.51;12.8;25.9;1.5
2025-12-14;15:26;Suba;11;4;5;;1.7;2.3;18.7;0.24;;11.4;0.8
2025-12-14;15:26;Puente Aranda;13;31.1;18.6;-9999;15.1;16;41.8;0.34;0.1;6.8;1.7
2025-12-14;15:26;MinAmbiente;17;3.2;5;;1.2;1.9;16;0.22;;19.7;0.9
2025-12-14;15:26;San Cristobal;24;-9999;2;0.4;-9999;-9999;26;0.25;50.5;15.6;0.7
2025-12-14;15:26;Movil 7ma;26;;19.6;;;;10.9;-9999;;;
2025-12-14;15:26;Bolivia;27;0.2;13;;0.6;-0.4;17.8;0.44;;22.5;
2025-12-14;15:26;Fontibon;30;9.8;18;1.4;1.9;7.9;-9999;0.43;9.5;28;-9999
2025-12-14;15:26;Usme;32;5.6;7;;2.7;2.9;19.9;0.13;;19.4;4.3
2025-12-14;15:26;Jazmin;34;10.3;18.1;;3.3;7;32.1;0.24;;14.7;0.8
2025-12-14;15:26;Ciudad Bolivar;37;17.2;17.7;0.7;10.9;6.4;43.1;-0.23;25;19.4;1
2025-12-14;15:26;Colina;38;86.3;8;;23.5;62.8;2.4;0.7;;-9999;0.4
2025-12-14;15:26;Movil Fontibon;39;-9999;23.3;;-9999;-9999;62.1;-9999;;;
