Fecha;Hora;name;stationId;NO;CO;PM25;eBC;NOX;BBP;SO2;PM10;NO2;OZONO
2026-01-04;14:19;Kennedy;9;2.3;0.63;10;-9999;8.6;-9999;0.9;13.5;6.3;25.4
2026-01-04;14:19;Suba;11;0.2;0.33;0;;3;;0.9;15.4;2.7;13.5
2026-01-04;14:19;Puente Aranda;13;5.6;0.31;5.5;1.4;19.1;4.4;1.6;-9999;13.4;12.4
2026-01-04;14:19;MinAmbiente;17;9;0.6;10;;22.6;;1.5;30;13.6;17
2026-01-04;14:19;San Cristobal;24;1.4;0.36;0;0.7;1.5;14.1;1.9;19;0.1;15.5
2026-01-04;14:19;Movil 7ma;26;;-9999;5.3;;;;;7.4;;
2026-01-04;14:19;Bolivia;27;-9999;-9999;5.2;;-9999;;;13.7;-9999;-9999
2026-01-04;14:19;Fontibon;30;1.5;0.38;8;0.8;7.6;8.1;0.9;10;6.1;19.2
2026-01-04;14:19;Usme;32;4.1;0.28;5.1;;9.4;;4.6;25.9;5.3;20.5
2026-01-04;14:19;Jazmin;34;4.7;0.35;4.2;;17.6;;1.6;7.2;12.9;15.2
2026-01-04;14:19;Ciudad Bolivar;37;15.6;0.37;11.4;-9999;29.3;-9999;2.5;19.3;13.8;19.6
2026-01-04;14:19;Colina;38;1.8;0.35;0;;7.5;;0.8;0;5.8;14.8
2026-01-04;14:19;Movil Fontibon;39;-9999;-9999;2.9;;-9999;;;26.2;-9999;
