Fecha;Hora;name;stationId;Humedad;Temperatura 8M;Dir Viento;Lluvia;Temperatura;Presion Baro;Rad Solar;Vel Viento
2025-11-08;13:30;Fontibon;30;38.0;;88.0;0.0;21.7;563.0;;1.2
2025-11-08;13:30;Usme;32;;;;0.0;21.2;561.0;746.0;
2025-11-08;13:30;Jazmin;34;36.0;;139.0;0.0;22.7;562.0;1072.0;2.7
2025-11-08;13:30;Ciudad Bolivar;37;;;;0.0;20.6;556.0;617.0;
2025-11-08;13:30;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;13:30;Movil Fontibon;39;;;;;22.2;563.0;528.0;
2025-11-08;14:17;Usaquen;1;;;177.0;0.0;22.3;;;2.4
2025-11-08;14:17;Carvajal - Sevillana;3;;;18.0;0.0;22.5;;;2.5
2025-11-08;14:17;Tunal;4;36.0;;128.0;0.0;;561.0;708.0;2.8
2025-11-08;14:17;Centro de Alto Rendimiento;5;35.0;;152.0;0.0;21.3;563.0;540.0;1.8
2025-11-08;14:17;Las Ferias;6;34.0;;62.0;0.0;23.5;562.0;;2.7
2025-11-08;14:17;Guaymaral;8;42.0;20.4;333.0;0.0;21.7;563.0;403.0;1.9
2025-11-08;14:17;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;14:17;Suba;11;;;37.0;0.0;22.7;;;3.0
2025-11-08;14:17;Puente Aranda;13;61.0;;248.0;0.0;20.3;562.0;192.0;2.6
2025-11-08;14:17;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;14:17;San Cristobal;24;43.0;;135.0;0.0;20.8;;516.0;2.5
2025-11-08;14:17;Movil 7ma;26;31.5;;289.0;0.0;-66.9;560.0;450.0;2.1
2025-11-08;14:17;Bolivia;27;52.0;;80.0;0.0;20.8;563.0;188.0;2.2
2025-11-08;14:17;Fontibon;30;61.0;;243.0;0.0;19.2;563.0;;4.5
2025-11-08;14:17;Usme;32;;;;0.0;22.0;560.0;833.0;
2025-11-08;14:17;Jazmin;34;40.0;;162.0;0.0;22.4;562.0;592.0;3.0
2025-11-08;14:17;Ciudad Bolivar;37;;;;0.0;20.2;556.0;479.0;
2025-11-08;14:17;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;14:17;Movil Fontibon;39;;;;;19.5;563.0;264.0;
2025-11-08;15:22;Usaquen;1;;;128.0;0.0;21.5;;;1.8
2025-11-08;15:22;Carvajal - Sevillana;3;;;32.0;0.0;20.9;;;4.2
2025-11-08;15:22;Tunal;4;51.0;;287.0;0.0;;561.0;448.0;3.3
2025-11-08;15:22;Centro de Alto Rendimiento;5;53.0;;320.0;0.0;19.1;562.0;254.0;2.3
2025-11-08;15:22;Las Ferias;6;47.0;;204.0;0.0;22.2;561.0;;1.0
2025-11-08;15:22;Guaymaral;8;42.0;20.4;333.0;0.0;21.7;563.0;403.0;1.9
2025-11-08;15:22;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;15:22;Suba;11;;;49.0;0.0;21.2;;;1.7
2025-11-08;15:22;Puente Aranda;13;75.0;;260.0;0.0;18.8;561.0;363.0;3.5
2025-11-08;15:22;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;15:22;San Cristobal;24;40.0;;126.0;0.0;22.0;;457.0;2.2
2025-11-08;15:22;Movil 7ma;26;35.0;;323.0;0.0;-68.8;560.0;604.0;0.8
2025-11-08;15:22;Bolivia;27;71.0;;285.0;0.0;18.4;562.0;173.0;2.5
2025-11-08;15:22;Fontibon;30;68.0;;262.0;0.0;18.7;562.0;;5.1
2025-11-08;15:22;Usme;32;;;;0.0;21.8;560.0;488.0;
2025-11-08;15:22;Jazmin;34;65.0;;284.0;0.0;20.0;561.0;467.0;3.4
2025-11-08;15:22;Ciudad Bolivar;37;;;;0.0;17.8;555.0;215.0;
2025-11-08;15:22;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
