Fecha;Hora;name;stationId;NO2;PM25;CO;OZONO;SO2;NO;BBP;eBC;NOX;PM10
2025-11-08;02:20;San Cristobal;24;5.7;7.0;0.24;8.5;0.0;1.3;0.5;0.6;7.0;12.0
2025-11-08;02:20;Movil 7ma;26;;13.7;-9999.0;;;;;;;45.0
2025-11-08;02:20;Bolivia;27;25.6;16.9;0.69;1.4;;19.9;;;45.5;65.6
2025-11-08;02:20;Fontibon;30;26.2;25.0;0.43;0.6;-9999.0;15.4;6.1;4.2;41.6;-9999.0
2025-11-08;02:20;Usme;32;20.2;25.2;0.38;1.1;1.5;18.8;;;39.0;62.1
2025-11-08;02:20;Jazmin;34;21.0;16.0;0.84;0.1;1.4;49.9;;;70.8;50.7
2025-11-08;02:20;Ciudad Bolivar;37;-9999.0;31.4;1.91;0.7;1.3;-9999.0;11.2;15.7;-9999.0;105.2
2025-11-08;02:20;Colina;38;62.8;8.0;0.7;-9999.0;0.4;23.5;;;86.3;2.4
2025-11-08;02:20;Movil Fontibon;39;-9999.0;24.4;-9999.0;;;-9999.0;;;-9999.0;113.8
2025-11-08;03:28;Usaquen;1;-9999.0;1.0;-9999.0;-9999.0;-9999.0;-9999.0;;;-9999.0;26.9
2025-11-08;03:28;Carvajal - Sevillana;3;;100.0;0.65;;1.8;;;;;157.0
2025-11-08;03:28;Tunal;4;10.6;13.0;-9999.0;2.1;0.9;11.2;9.6;1.7;21.8;55.0
2025-11-08;03:28;Centro de Alto Rendimiento;5;10.1;18.3;1.01;0.0;3.2;48.5;7.3;7.1;58.6;39.3
2025-11-08;03:28;Las Ferias;6;20.9;19.0;0.42;0.3;;29.0;;;50.0;17.0
2025-11-08;03:28;Guaymaral;8;15.8;17.0;0.67;-0.3;2.7;116.7;;;132.5;35.0
2025-11-08;03:28;Kennedy;9;12.4;16.7;0.69;15.7;-0.5;16.1;4.5;3.0;28.5;31.6
2025-11-08;03:28;Suba;11;19.0;26.0;0.43;0.8;2.1;11.6;;;30.5;38.9
2025-11-08;03:28;Puente Aranda;13;24.4;19.0;0.81;0.8;2.1;84.3;0.1;-9999.0;108.8;37.7
2025-11-08;03:28;MinAmbiente;17;13.9;9.0;0.57;3.4;0.2;9.4;;;23.3;18.0
2025-11-08;03:28;San Cristobal;24;4.2;5.0;0.21;8.6;-0.1;1.1;6.0;0.5;5.3;11.0
2025-11-08;03:28;Movil 7ma;26;;17.2;-9999.0;;;;;;;30.0
2025-11-08;03:28;Bolivia;27;19.8;12.6;0.61;2.2;;8.2;;;28.0;54.6
2025-11-08;03:28;Fontibon;30;25.2;24.1;0.55;0.6;-9999.0;40.2;12.1;5.3;65.4;-9999.0
2025-11-08;03:28;Usme;32;19.4;21.2;0.36;2.6;4.2;14.9;;;34.3;64.0
2025-11-08;03:28;Jazmin;34;23.0;24.6;0.8;0.2;1.2;47.6;;;70.6;51.3
2025-11-08;03:28;Ciudad Bolivar;37;-9999.0;28.3;0.8;0.6;1.1;-9999.0;8.4;7.9;-9999.0;104.5
2025-11-08;03:28;Colina;38;62.8;8.0;0.7;-9999.0;0.4;23.5;;;86.3;2.4
2025-11-08;03:28;Movil Fontibon;39;-9999.0;17.9;-9999.0;;;-9999.0;;;-9999.0;74.7
2025-11-08;04:21;Usaquen;1;-9999.0;4.8;-9999.0;-9999.0;-9999.0;-9999.0;;;-9999.0;15.9
2025-11-08;04:21;Carvajal - Sevillana;3;;47.0;0.62;;1.6;;;;;98.0
2025-11-08;04:21;Tunal;4;11.6;18.0;-9999.0;1.5;1.7;23.3;3.5;2.3;34.9;42.0
2025-11-08;04:21;Centro de Alto Rendimiento;5;9.9;13.6;0.83;0.0;2.7;44.9;9.3;6.5;54.8;38.0
2025-11-08;04:21;Las Ferias;6;20.1;17.0;0.46;0.3;;37.1;;;57.2;18.5
2025-11-08;04:21;Guaymaral;8;15.4;12.0;0.61;-0.3;2.8;115.7;;;131.1;33.0
2025-11-08;04:21;Kennedy;9;12.4;16.7;0.69;15.7;-0.5;16.1;4.5;3.0;28.5;31.6
2025-11-08;04:21;Suba;11;18.0;25.0;0.42;0.7;1.9;13.8;;;31.8;43.1
2025-11-08;04:21;Puente Aranda;13;22.7;23.3;0.53;0.9;1.9;63.0;0.1;-9999.0;85.5;39.5
2025-11-08;04:21;MinAmbiente;17;6.8;4.0;0.37;8.2;0.2;5.6;;;12.4;16.0
2025-11-08;04:21;San Cristobal;24;5.2;2.0;0.22;8.2;-0.2;2.8;1.0;0.4;7.9;8.0
2025-11-08;04:21;Movil 7ma;26;;15.0;-9999.0;;;;;;;42.3
2025-11-08;04:21;Bolivia;27;19.3;11.0;0.69;0.9;;13.4;;;32.7;38.3
2025-11-08;04:21;Fontibon;30;22.4;19.1;0.44;1.1;-9999.0;19.7;7.3;4.7;42.1;-9999.0
2025-11-08;04:21;Usme;32;19.1;19.7;0.39;3.6;4.3;16.0;;;35.1;47.0
2025-11-08;04:21;Jazmin;34;20.5;17.9;0.66;0.1;0.7;35.8;;;56.3;46.7
2025-11-08;04:21;Ciudad Bolivar;37;-9999.0;21.3;0.83;0.7;1.5;-9999.0;12.3;7.3;-9999.0;90.9
2025-11-08;04:21;Colina;38;62.8;8.0;0.7;-9999.0;0.4;23.5;;;86.3;2.4
2025-11-08;04:21;Movil Fontibon;39;-9999.0;14.1;-9999.0;;;-9999.0;;;-9999.0;54.2
2025-11-08;05:22;Usaquen;1;-9999.0;6.6;-9999.0;-9999.0;-9999.0;-9999.0;;;-9999.0;22.2
2025-11-08;05:22;Carvajal - Sevillana;3;;60.0;1.17;;1.9;;;;;144.0
2025-11-08;05:22;Tunal;4;13.1;19.0;-9999.0;1.1;1.4;37.4;3.8;4.0;50.5;46.0
2025-11-08;05:22;Centro de Alto Rendimiento;5;8.1;10.1;0.79;0.0;2.3;50.6;10.4;7.6;58.7;35.5
2025-11-08;05:22;Las Ferias;6;19.2;17.0;0.59;0.4;;47.9;;;67.2;24.6
2025-11-08;05:22;Guaymaral;8;17.2;19.0;0.72;-0.4;4.1;192.2;;;209.3;48.0
2025-11-08;05:22;Kennedy;9;12.4;16.7;0.69;15.7;-0.5;16.1;4.5;3.0;28.5;31.6
2025-11-08;05:22;Suba;11;18.9;32.0;0.55;0.6;1.6;43.5;;;62.5;34.0
2025-11-08;05:22;Puente Aranda;13;27.0;18.0;0.75;0.8;1.6;99.8;0.1;-9999.0;126.3;31.4
2025-11-08;05:22;MinAmbiente;17;9.4;1.0;0.45;4.0;0.1;10.1;;;19.6;13.0
2025-11-08;05:22;San Cristobal;24;5.7;4.0;0.21;8.0;-0.2;3.6;0.1;0.5;9.3;6.0
2025-11-08;05:22;Movil 7ma;26;;12.4;-9999.0;;;;;;;49.0
2025-11-08;05:22;Bolivia;27;19.0;9.4;1.12;0.4;;55.9;;;74.9;41.9
2025-11-08;05:22;Fontibon;30;22.7;21.9;0.52;0.1;-9999.0;36.6;3.3;6.1;59.2;-9999.0
2025-11-08;05:22;Usme;32;22.8;14.0;0.44;3.0;5.2;22.7;;;45.5;58.8
2025-11-08;05:22;Jazmin;34;20.9;20.3;1.17;0.2;0.8;86.8;;;107.7;44.6
2025-11-08;05:22;Ciudad Bolivar;37;-9999.0;23.9;1.5;0.8;1.1;-9999.0;7.4;14.5;-9999.0;87.1
2025-11-08;05:22;Colina;38;62.8;8.0;0.7;-9999.0;0.4;23.5;;;86.3;2.4
2025-11-08;05:22;Movil Fontibon;39;-9999.0;17.7;-9999.0;;;-9999.0;;;-9999.0;50.9
2025-11-08;06:17;Usaquen;1;-9999.0;6.1;-9999.0;-9999.0;-9999.0;-9999.0;;;-9999.0;28.6
2025-11-08;06:17;Carvajal - Sevillana;3;;83.0;2.54;;2.0;;;;;161.0
2025-11-08;06:17;Tunal;4;19.5;45.0;-9999.0;1.3;2.8;101.6;5.4;15.3;121.0;61.0
2025-11-08;06:17;Centro de Alto Rendimiento;5;8.7;8.1;0.61;0.0;1.8;39.6;3.4;7.2;48.3;27.0
2025-11-08;06:17;Las Ferias;6;18.4;20.0;0.54;0.4;;48.2;;;66.5;17.6
