Fecha;Hora;name;stationId;SO2;NO2;BBP;PM25;NOX;NO;CO;OZONO;eBC;PM10
2026-01-01;02:27;San Cristobal;24;2.1;0.1;29.5;81.0;1.5;1.4;1.02;1.2;4.7;99.0
2026-01-01;02:27;Movil 7ma;26;;;;2.5;;;-9999.0;;;40.0
2026-01-01;02:27;Bolivia;27;;-9999.0;;37.1;-9999.0;-9999.0;-9999.0;-9999.0;;102.2
2026-01-01;02:27;Fontibon;30;1.1;15.6;36.9;62.0;21.9;6.3;0.75;2.2;5.5;164.4
2026-01-01;02:27;Usme;32;1.4;9.8;;11.8;14.5;4.7;0.46;11.0;;48.2
2026-01-01;02:27;Jazmin;34;2.4;22.7;;31.1;38.7;16.0;0.6;0.7;;89.2
2026-01-01;02:27;Ciudad Bolivar;37;3.2;29.1;30.1;8.1;76.2;47.2;1.0;4.6;10.9;76.6
2026-01-01;02:27;Colina;38;0.8;5.8;;0.0;7.5;1.8;0.35;14.8;;0.0
2026-01-01;02:27;Movil Fontibon;39;;-9999.0;;45.3;-9999.0;-9999.0;-9999.0;;;94.7
2026-01-01;03:35;Usaquen;1;-9999;-9999;;4.5;-9999;-9999;-9999;-9999;;10.2
2026-01-01;03:35;Carvajal - Sevillana;3;1.5;;;27;;;1.03;;;55
2026-01-01;03:35;Tunal;4;3.5;7.5;31.3;88;58.4;50.8;-9999;1.5;5.7;124
2026-01-01;03:35;Centro de Alto Rendimiento;5;0.6;10.3;30.5;13.5;15.3;5;0.4;-9999;4.2;10.3
2026-01-01;03:35;Las Ferias;6;;14.5;;25;19.2;4.8;0.38;2.1;;8.7
2026-01-01;03:35;Guaymaral;8;0.7;12.7;;144;31.3;18.7;1.02;1.8;;35
2026-01-01;03:35;Kennedy;9;1.9;18;45.6;50.7;25.4;7.5;0.96;1.6;6.8;76.3
2026-01-01;03:35;Suba;11;0.8;13.3;;90;17.6;4.2;0.62;1;;57.6
2026-01-01;03:35;Puente Aranda;13;1.8;17.6;27.9;14.2;35.5;18;0.61;0.9;6.9;22.6
2026-01-01;03:35;MinAmbiente;17;0.5;10.3;;25;14.8;4.4;0.47;2.7;;44
2026-01-01;03:35;San Cristobal;24;2;0.1;43.5;74;1.5;1.4;0.84;1.1;3.9;76
2026-01-01;03:35;Movil 7ma;26;;;;3.9;;;-9999;;;44.9
2026-01-01;03:35;Bolivia;27;;-9999;;51.3;-9999;-9999;-9999;-9999;;110.7
2026-01-01;03:35;Fontibon;30;1.3;16.5;35.2;55;25.6;9.1;0.71;2.2;5.4;60
2026-01-01;03:35;Usme;32;1.5;9.5;;12.9;12.7;3.1;0.38;9.8;;43.6
2026-01-01;03:35;Jazmin;34;1.8;21.1;;41.1;29.6;8.5;0.48;0.8;;82.7
2026-01-01;03:35;Ciudad Bolivar;37;2.5;31.3;33.4;17.8;93.9;62.6;1.21;1.7;13.2;112.6
2026-01-01;03:35;Colina;38;0.8;5.8;;0;7.5;1.8;0.35;14.8;;0
2026-01-01;03:35;Movil Fontibon;39;;-9999;;40.6;-9999;-9999;-9999;;;84.8
